videoId,publishedAt,authorDisplayName,textDisplay
wYa0xBh3FSE,2023-07-09,Gerda Pons,"Denken jullie nu echt dat wij,Nederland,op jullie zitten te wachten?..nee yessay en kijken terug onder jullie stenen.."
wYa0xBh3FSE,2023-07-09,,Ook al worden ze de grootste dan hebben ze niet genoeg partijen die met hun willen samenwerken en dan neemt de tweede partij het voortouw en die gaat met een rechts kabinet verder.
wYa0xBh3FSE,2023-07-09,Max V,Praten ze nu al als Rutte…. ?
wYa0xBh3FSE,2023-07-09,Wim van Beek,Twee ego's wordt niks!!
wYa0xBh3FSE,2023-07-09,Evelyne Werff Van Der,N E E  DANKJEWEL
wYa0xBh3FSE,2023-07-09,Sjors,"Ja, natuurlijk hebben ze dit besloten want zonder de fusie zijn beide partijen nergens.."
wYa0xBh3FSE,2023-07-09,Vick Heyns,"Kuiken en Kiekens ,wat een kippen"
wYa0xBh3FSE,2023-07-09,Blik op Politiek NL,hahahaha pieter omtzigt staat in de peilingen op 27 zetels hahahahaha omtzigt heeft meer zetels dan pvda en gl samen😂👏🏽💪🏽👍🏽🙏🏽 ik hoop dat omtzigt bij de bbb aanschuift 😂😉komen ze op over de 50 zetels 😂😂
wYa0xBh3FSE,2023-07-09,Koen,"Schattig , ze gaan verder als Jattje Kluiver..."
wYa0xBh3FSE,2023-07-09,Jet van Keken,"Dit moeten we ook niet hebben. Nou klaver ik hoop toch echt, dat jij met Atje niet de grootste wordt. Vertrouw jullie ook niet."
wYa0xBh3FSE,2023-07-09,Put here to annoy the world🛸👽,"Het zou prachtig in de ""woke"" maatschappij passen. Dé eerste vrouw als president. En dan op de achtergrond gewoon de agenda's doordrukkenhet is allemaal een spelletje"
wYa0xBh3FSE,2023-07-09,R H,Dat wordt helemaal niets met piepkuiken en klavertje 3
wYa0xBh3FSE,2023-07-09,Guus,"Dit is een vies spelletje want ze gaan gewoon als 2 partijen verder, alleen ze willen doormiddel van het samenvoegen van de zetels op papier samen de grootste worden en dus de MP leveren en de formatie lijden."
wYa0xBh3FSE,2023-07-09,Erik Bruininckx,pfff geen links
wYa0xBh3FSE,2023-07-09,MrRotterdamn,Oprutten eindelijk!
wYa0xBh3FSE,2023-07-09,R K,Alles moet nieuw niemand uit 2e kamer
wYa0xBh3FSE,2023-07-09,Peter Tholen,"BBB, NEE."
wYa0xBh3FSE,2023-07-09,Ellie de Groot,Doe mij 1 plezier en GA WEG !! 😡😡
wYa0xBh3FSE,2023-07-09,S Masmeijer,Pvv word of bbb word de grootste  partij 🎉🎉😂😂
wYa0xBh3FSE,2023-07-09,Youtuber,"twee partijen die alleen niet genoeg stemmen krijgen, dus maar 1 links front vormen."
wYa0xBh3FSE,2023-07-09,Xyma YT,VOLKS-VERRADERS
wYa0xBh3FSE,2023-07-09,Eigenlijk is dat heel logisch,"Er was eens een kuikentje die was niet zo blij  ze voelde zich alleen en zo eenzaam als een ei Op een dag liep ze door de wei  ineens zag zij daar een klavertje,  wat een geluk,  wil jij wat met mij  vroeg ze hem blij,  want alleen red ik het niet klavertje maakte van blijdschap  een grote dans  hij was een schlemieltje  en had veel verdriet  Hij ging in op het gesjans  Want hij maakte alleen  bij niemand een kans  ze werden verliefd en maakte samen een dans. Ze Stonden te vrijen op een plekkie uit de wind Ze waren gelukkig, zo blij als een kind Hij zoende het kuikentje , en zij die klaver Hij wilde haar trouwen En ging naar haar vader, voor de hand van dat kind Pa kip wilde niet weten, dat zijn kind werd bemind En hij sloog het kuiken, zijn bloedeigen kind En vader zei: Daar kan niks van kommen, weet waar je aan begint Want de kleur van een kuiken is heel anders als van een klaver Dat wordt niks anders als ellende, waar je je ook bevindt Maar de geliefden, slaan die raad in de wind Ze trouwden heel stiekum, en ze kregen een kind Dat leek op een kuiken en op een klaver liefde maakt Blind. Toen, toen kwam er een landelijke expositie, van kuiken tot klaver Ons echtpaar dat schreef gelijk in en natuurlijk ook voor hun nieuwe kind. Maar hoe lang dat huwelijk nou stand houd  En want hen nou bind  zal blijken als de toekomst hen verslindt"
wYa0xBh3FSE,2023-07-09,Reinier Geurtsen,Poppenkast
wYa0xBh3FSE,2023-07-09,Gilbert Kuipers,Vreselijk hoop geen 1 stem.  Ba oprotten
wYa0xBh3FSE,2023-07-09,H B,"Haha,Klavertje wil zo graag Minister President worden."
