videoId,publishedAt,authorDisplayName,textDisplay
_zYkiBYCJwQ,2023-07-10,Pe Rietveld,"Ja, nee, doet ie het of doet ie het niet"
_zYkiBYCJwQ,2023-07-10,Vick quengo,"Waarom ging  je niet naar  Brussel, en vertellen dat Nederland de asiel stroom niet aan kan? Ga niet met mensen spelen er zijn genoeg probleem in Nederland."
_zYkiBYCJwQ,2023-07-10,Rob,"Eerlijk is eerlijk.. Rutte is een gigant... Niemand kan zoals hij goochelen met woorden, denkbeelden, standpunten, dossiers, wetten, argumenten. Wie we ook krijgen het wordt een tobber vergeleken met deze man. Misschien Omtzigt... Maar Carolien zeker niet, heks Kaag helemaal niet en wie wel eigenlijk..."
_zYkiBYCJwQ,2023-07-10,Goldy Goldy,"Maandag  niet?  Dinsdag..,k weet ,niet meer.... Woensdag... oh jah!😀, k Weet het denk ik weer. DONDERDAG;   WÁT???  Zei ik dat? Gisteren????? VRIJDAG:     bijna weekend mensen!!!!!! Zaterdag....    Shit!!!!!    Bijna weer Maandag!!!!😡"
_zYkiBYCJwQ,2023-07-10,john do,Op 2:55 blijkt Mark toch een geheugen te hebben ......
_zYkiBYCJwQ,2023-07-10,ARS Website ARS,"Dit kabinet was niks, maar de persoon Rutte staat daar los van. Zie maar weer zo'n premier te krijgen in dit tot op het bot verdeelde land."
_zYkiBYCJwQ,2023-07-10,Stefan,Beneden het niveau van Paternotte? Dat zal niet meevallen.
_zYkiBYCJwQ,2023-07-10,Rita De Graaf,Paternotte ook eruit.
_zYkiBYCJwQ,2023-07-10,stefanhingis,"Paternotte ga lekker aantal weken vrijwilligerswerk in AZC doen komende 8 weken toch vrij, maar dat wil je natuurlijk niet😂😂"
_zYkiBYCJwQ,2023-07-10,Vick quengo,Waarom asiel ? 😂😂😂😂😂😂
_zYkiBYCJwQ,2023-07-10,jan van pelt,De eersten die uit Nederland gezet moeten worden zijn VVD'ers !!! Dat ruimt lekker op !!! 😂😂😂
_zYkiBYCJwQ,2023-07-10,turbogurb,"lijkt wel een tamboerkorps, misschien volgende Nederlandse inzending voor het songfestival?"
_zYkiBYCJwQ,2023-07-10,Goldy Goldy,"2de woning????????   Wie heeft er ,n 2de woning dan?????"
_zYkiBYCJwQ,2023-07-10,DDutch Official,Het komt omdat Rutte handelde naar de bevelen van Claus en co  en nu dit tot een ramp voor WEF lijkt te worden voor ze neemt Rutte de benen.
_zYkiBYCJwQ,2023-07-10,Rob,Wat een reptielen gevecht....LOL...
_zYkiBYCJwQ,2023-07-10,Michiel de Ruyter,Gaat die mocrovoorzitter nu ook weg?
_zYkiBYCJwQ,2023-07-10,Telly Savalas1974,Paternotte hou op met frotten.
