videoId,publishedAt,authorDisplayName,textDisplay
jYhli0obRT8,2023-07-09,Andre Schenk,Ik heb worstjes op mijn borstjes 😅 Dat zegt genoeg over deze ex-minister 🎉
jYhli0obRT8,2023-07-09,eriksweet,Je krijgt enkel nog toezeggingen over wanneer ze erover gaan praten of kijken.
jYhli0obRT8,2023-07-09,"Button, E Button",Wat n slap gelul van deze minister
jYhli0obRT8,2023-07-09,Fred,"Kafka, kan de Master Volume nog wat omhoog? Thnxs"
jYhli0obRT8,2023-07-09,Hans van Rijswijk,Zelfs KUZU is beter..en rustiger dan.......🙊🙊🙊🙊🙊
jYhli0obRT8,2023-07-09,Maarten Van Egmond,Geen ootmoed bij de CU
jYhli0obRT8,2023-07-09,Maarten Van Egmond,"Weet de Christen Unie wat er staat Jesaja 5, ? wie komt er op de eerste plaats?"
jYhli0obRT8,2023-07-09,Gerard Verweg,Smeerdoos
jYhli0obRT8,2023-07-09,wiebe marinus,Oppositie wil Rutte per direct het Torentje uitzetten en daar na ophangen
jYhli0obRT8,2023-07-09,Ferry Vanderlans,Die schoutenbol doet helemaal niks voor de mensen helemaal niks!!
jYhli0obRT8,2023-07-09,Duikboot,Heeft die gozer nou een cavia op zijn kneiter of hoe zit 't
jYhli0obRT8,2023-07-09,Ron Berg,Als je dood ben heb je ook geen armoede dat is waar ze op wachten .
jYhli0obRT8,2023-07-09,info wars,"Reptiel is dat monster toch ,je gaat over lijken ,je liegt dat je barst."
jYhli0obRT8,2023-07-09,valentino gomez,Wie is deze Pater leon de Jong
JgfZsFfugZ0,2023-07-09,DRS Prof,"Wat goedaardig is voor de ene, kan kwaadaardig zijn voor een andere. Als je de planeet wilt 'redden' voor een schijnbare klimaatsverandering kan goedaardig klinken, maar kan gewoon domweg kwaadaardig zijn als je daarvoor mensen in armoede schopt. etc."
JgfZsFfugZ0,2023-07-09,Tripz Included,"ego personages kunnen alleen maar circulair redeneren in narratieven .. (::) ""they create a problem and present us the solution"""
JgfZsFfugZ0,2023-07-09,Robert Sjoers,En de burger financiert deze poppenkast
