videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
yq_tZ1zfzJk,2023-11-02,youtube#video,Interview met PVV-Kamerlid Fleur Agema: &#39;Salarissen blijven achter bij de markt&#39;,Dit is een fragment uit The Daily Move met presentatoren Nina van den Dungen en Kees Dorresteijn. Te gast zijn politiek ...,BNR,none
XEOEBi7x7jY,2023-11-03,youtube#video,Stuitend dat Frans Timmermans Israël haat in de schoenen schuift,,PVVpers,none
zATqSZGol9s,2023-11-03,youtube#video,NOS Nederland Kiest - Het Debat | NPO Radio 1,In aanloop naar de Tweede Kamerverkiezingen gaan 16 lijsttrekkers in dit radiodebat met elkaar in discussie onder leiding van ...,NPO Radio 1,none
c9Sc_QyY29U,2023-11-05,youtube#video,PVV wil regeren: &#39;kabinet-Wilders I zal niemand uitsluiten&#39;,Dit is een fragment van The Friday Move met Wilfred Genee. Aan tafel zit PVV-fractielid Fleur Agema om te praten over de ...,BNR,none
c9Sc_QyY29U,2023-11-05,youtube#video,PVV wil regeren: &#39;kabinet-Wilders I zal niemand uitsluiten&#39;,Dit is een fragment van The Friday Move met Wilfred Genee. Aan tafel zit PVV-fractielid Fleur Agema om te praten over de ...,BNR,none
2SFddSP8wSA,2023-11-06,youtube#video,Nummer twee van NSC Nicolien van Vroonhoven: coalitie met PVV bijna niet te doen,"Ondanks dat sommige kiezers van partijen als VVD, BBB en NSC ervoor openstaan om een coalitie te vormen met de PVV, twijfelt ...",WNL,none
SvZAX4_eDsQ,2023-11-06,youtube#video,Wilders(PVV) zet Yeşilgöz op haar plek in verkiezingsdebat:&quot;Je kan niet tegen kritiek!&#39;,Verkiezingsdebat 2023 druk eenvoudig op ABONNEREN ✓ Geef de video's een LIKE   als je onze video's waardeert ❤ Stel ook ...,Politiek Correct,none
NRhj4HidRQs,2023-11-07,youtube#video,Geert Wilders te gast bij Shownieuws (bron: Talpa),,PVVpers,none
7seCE8tC6dE,2023-11-07,youtube#video,"VVD, GroenLinks-PvdA en PVV over oorlog tussen Israël en Hamas - NOS Nederland Kiest | NPO Radio 1","Dilan Yesilgöz (VVD), Frans Timmermans (GroenLinks-PvdA) en Geert Wilders (PVV) debatteren in het radiodebat van de NOS ...",NPO Radio 1,none
oVCB5dcg7XA,2023-11-07,youtube#video,D66 en PVV in debat over het vertrouwen in de politiek - NOS Nederland Kiest | NPO Radio 1,Rob Jetten (Democraten 66) en Geert Wilders (Partij voor de Vrijheid) gaan bij de NOS op NPO Radio 1 in debat over 'het ...,NPO Radio 1,none
8F1q6j0KV2o,2023-11-07,youtube#video,"VVD, PVV en CDA in debat over migratie - NOS Nederland Kiest | NPO Radio 1","Dilan Yeşilgöz (Volkspartij voor Vrijheid en Democratie), Geert Wilders (Partij voor de Vrijheid) en Henri Bontenbal ...",NPO Radio 1,none
-zJ8qQFxHyU,2023-11-09,youtube#video,Katten knuffelen met Geert Wilders (PVV),"De Tweede Kamerverkiezingen komen eraan: wat wil de PVV eigenlijk? Bart sprak erover met de baas van die partij, Geert ...",NOS Jeugdjournaal,none
B0g_UPpfvvI,2023-11-09,youtube#video,Wilders (PVV) zet Jetten (D66) voor schut in debat.,Verkiezingsdebat 2023 WIlders (PVV)- Jetten (D66) 04-11-2023 Wil je meer Debatten uit de Tweede Kamer zien? druk dan ...,Politiek Correct,none
KgcdWmobz3M,2023-11-09,youtube#video,Agema (PVV) CONFRONTEERT Vera Bergkamp met smerige spelletjes!,Agema (PVV) CONFRONTEERT Vera Bergkamp met smerige spelletjes! Music credits: Keichan - A piano of tragedy Deze video ...,Politiek Inzicht,none
augXW8vLaw8,2023-11-13,youtube#video,We moeten de goede keuzes maken. De Nederlander hunkert naar lastenverlichting!,,PVVpers,none
o0GKxJJWc-4,2023-11-13,youtube#video,We moeten investeren in de zorg! Onze ouderen verdienen dat!,,PVVpers,none
augXW8vLaw8,2023-11-13,youtube#video,We moeten de goede keuzes maken. De Nederlander hunkert naar lastenverlichting!,,PVVpers,none
V6rgkvPbHjc,2023-11-13,youtube#video,Geert Wilders bij Business Class,,PVVpers,none
WwTywMpbWbg,2023-11-13,youtube#video,TERUGKIJKEN | Geert Wilders (PVV) beantwoordde jullie vragen,Van 6 t/m 21 november legt verslaggever Albert Bos iedere werkdag om 9.15 uur jullie vragen live voor aan een lijsttrekker.,NOS,none
WsWhhwPfZvk,2023-11-14,youtube#video,Johan helpt Timmermans uit z&#39;n droom: &#39;Dat gaat niet gebeuren&#39; | VANDAAG INSIDE,Frans Timmermans vertelt aan tafel bij Vandaag Inside wat zijn doel is met de nieuwe links-progressieve beweging ...,Vandaag Inside,none
Qmw7vnCs7gU,2023-11-15,youtube#video,Ik ben een democraat in hart en nieren,,PVVpers,none
W7vrujt1fKE,2023-11-15,youtube#video,60% Nederlanders twijfelt nog over stem: &#39;Ik stem op Palestina&#39;,Ruim 59% van de Nederlanders weet nog niet op wie ze volgende week gaan stemmen bij de Tweede Kamer-verkiezingen.,Omroep PowNed,none
IukKC1pR-mk,2023-11-15,youtube#video,Wilders haalt uit: &#39;Timmermans kiest het hazenpad!&#39;,Pim Sedee en politiek commentator Wouter de Winther praten met PVV-leider Geert Wilders over de rol van zijn partij in de ...,De Telegraaf,none
7uNfS1bP6Zg,2023-11-15,youtube#video,Van der Plas (BBB) wil Omtzigt (NSC) overtuigen met Wilders (PVV) samen te werken,Leider van de BoerBurgerBeweging Caroline van der Plas wil Pieter Omtzigt (NSC) overhalen toch in zee te gaan met de PVV ...,WNL,none
8BwGGnRLetE,2023-11-15,youtube#video,Wat zijn de prioriteiten van Wilders?,PVV-leider Geert Wilders wil deelnemen aan een volgend kabinet en dan bij voorkeur niet in een gedoogconstructie. Dat zegt hij ...,Nieuwsuur,none
IsIz23dW6I0,2023-11-16,youtube#video,Wilders: &#39;Die opmerking had Yeşilgöz niet verdiend&#39; | VANDAAG INSIDE,Geert Wilders komt terug op een uitspraak die hij in het verleden heeft gedaan over VVD-lijsttrekker Dilan Yeşilgöz. Kijk iedere ...,Vandaag Inside,none
5W-dMe9U5y4,2023-11-16,youtube#video,&#39;Twijfel van Omtzigt jaagt mensen schrik aan&#39;,In aanloop naar de Tweede Kamerverkiezingen op 22 november bespreken we elke dag met politiek commentator Wouter de ...,De Telegraaf,none
S7bpEw74oIo,2023-11-16,youtube#video,Nederlanders weer op 1!,,PVVpers,none
kdyqa9Iq6gA,2023-11-16,youtube#video,Nederland wil graag dat de PVV meedoet!,,PVVpers,none
nyIwb-m-E-c,2023-11-17,youtube#video,Kan het nog goed komen tussen Timmermans en Omtzigt en maakt de PVV nu kans? | Rondje Binnenhof #54,"Omschrijving: Rondje Binnenhof verplaatst zich naar het Mediapark in Hilversum, waar een paar lijsttrekkers met elkaar het debat ...",NOS,none
agxRLS-XYTU,2023-11-17,youtube#video,Vandaag Inside-tafel lacht om oneliners Wilders: &#39;Hij is verbaal echt Champions League&#39;,De Vandaag Inside-tafel moet lachen om een aantal oneliners van Geert Wilders tijdens Het Debat van Nederland. Kijk iedere ...,Vandaag Inside,none
76Q46ABdWrQ,2023-11-17,youtube#video,"Na pittig SBS-debat: ‘Timmermans, dit sloeg nergens op’",Met nog een kleine week te gaan tot de Tweede Kamerverkiezingen hebben partijen de eindsprint ingezet. Donderdagavond ...,De Telegraaf,none
_Te5fBORqts,2023-11-17,youtube#video,Geert Wilders steelt show tijdens SBS-debat en grapt over gewicht Timmermans,PVV-leider Geert Wilders was als in vis in het water tijdens het SBS-debat donderdagavond. Dat zegt politiek commentator van ...,WNL,none
kpJ1TTWHJno,2023-11-18,youtube#video,We moeten betere keuzes maken,,PVVpers,none
P76pOBPAykQ,2023-11-18,youtube#video,"NSC verliest iets in peilingen, PVV groeit","Waar Wilders duidelijk is, blijft Pieter Omtzigt op de vlakte – of zelfs onduidelijk. Lees meer: ...",WNL,none
X54CH_mkSXg,2023-11-18,youtube#video,Een historisch mooie opening van het NOS achtuurjournaal!,,PVVpers,none
RDRgZba2mzU,2023-11-18,youtube#video,De asielinstroom moet maximaal naar beneden en de Nederlander moet op 1 komen!,,PVVpers,none
2Db0PobVgqo,2023-11-19,youtube#video,De PVV zet jullie allemaal op 1!,,PVVpers,none
S2w2kw4M5eU,2023-11-19,youtube#video,Gehaktballen en Nintendo!,,PVVpers,none
oEr4MGL7yV4,2023-11-19,youtube#video,Het is onze plicht om met elkaar samen te werken om het voor de Nederlanders makkelijker te maken,,PVVpers,none
MUnbH33J2RU,2023-11-20,youtube#video,Geertje Pippeloentje | Even Tot Hier | Seizoen 10,De PVV heeft in de laatste peilingen voor de verkiezingen ineens een flinke inhaalslag gemaakt en kan één van de grootste ...,Even Tot Hier,none
1mC0YGSQBwM,2023-11-20,youtube#video,PVV de grootste: &#39;Al dat volk het land uit!&#39;,De PVV is hard op weg om de grootste te worden in Nederland. In PVV-bolwerk Sint-Willebrord komt dat voor niemand als een ...,Omroep PowNed,none
wT721GLAQzQ,2023-11-21,youtube#video,Gideon van Meijeren over waarom je NIET op de PVV moet stemmen!,Gideon van Meijeren over waarom je NIET op de PVV moet stemmen!,KafkaNL,none
