videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
8PTbqTGxU9c,2023-11-05,youtube#video,VVD en GL-PvdA botsen tijdens debat over woningmarkt: &#39;Hiermee gaan we het niet oplossen&#39;,Het woningtekort oplossen vereist migratiebeperking. Dat stelt VVD-fractievoorzitter Sophie Hermans in het WNL-debat met de ...,WNL,none
nR6TqB2RDpo,2023-11-07,youtube#video,Jesse Klaver (GL-PvdA) hoopt op &#39;kabinet zonder VVD&#39;,"Dit is een fragment uit BNR's Big Five met presentator Diana Matroos. Te gast is Jesse Klaver, de nummer drie van ...",BNR,none
A-isJeh1r24,2023-11-07,youtube#video,"&quot;Iedereen verdient een waardig bestaan&quot; I Esmah Lahlah, #2 GroenLinks-PvdA","Esmah Lahlah, onze nummer 2, deelt in deze video haar visie op de toekomst van Nederland. Haar tijd als wethouder in Tilburg ...",GroenLinks-PvdA,none
XfoE9sMcJeE,2023-11-07,youtube#video,Paniek bij GroenLinks-PvdA!,Paniek bij GroenLinks-PvdA! Elke dag nieuwe vlogs en video's van toen! Wil je mijn video's als eerste zien? Abonneer je dan op ...,Harry Vermeegen Official,none
0TazxIR4xiI,2023-11-07,youtube#video,"BBB, D66 en GroenLinks-PvdA in debat over klimaat - NOS Nederland Kiest | NPO Radio 1","Caroline van der Plas (BBB), Rob Jetten (D66) en Frans Timmermans (GroenLinks-PvdA) debatteren in het radiodebat van de ...",NPO Radio 1,none
7seCE8tC6dE,2023-11-07,youtube#video,"VVD, GroenLinks-PvdA en PVV over oorlog tussen Israël en Hamas - NOS Nederland Kiest | NPO Radio 1","Dilan Yesilgöz (VVD), Frans Timmermans (GroenLinks-PvdA) en Geert Wilders (PVV) debatteren in het radiodebat van de NOS ...",NPO Radio 1,none
4uRywE9y5UY,2023-11-07,youtube#video,Jesse Klaver (GL-PvdA) kritisch: &#39;Niet waar dat ondernemers overal de rekening voor betalen&#39;,"Dit is een fragment uit BNR's Big Five met presentator Diana Matroos. Te gast is Jesse Klaver, de nummer drie van ...",BNR,none
incaXHyf-HM,2023-11-08,youtube#video,Simon Ceulemans (JA21) in debat met GroenLinks/PvdA,"Fossiele subsidies bestaan niet. De linkse wens om de belastingkorting af te bouwen jaagt bedrijven weg, kost banen en ...",JA21,none
DWdrYaehbg8,2023-11-08,youtube#video,Frans Timmermans over KLIMAAT,"Wat voor wereld willen wij voor onze kinderen en kleinkinderen achterlaten? Frans Timmermans over klimaat, te gast bij Van ...",GroenLinks-PvdA,none
hadSvCjpKdw,2023-11-09,youtube#video,Onze investeringen in Zuid-Holland,"Onze kandidaat Kati Piri, uit Den Haag, legt je in 1 minuut uit wat onze plannen zijn voor Zuid-Holland. We bouwen meer ...",GroenLinks-PvdA,none
-d7AiH347qI,2023-11-09,youtube#video,Onze investeringen in Overijssel,Onze kandidaat Jimme Nordkamp uit Losser legt je in 1 minuut uit wat onze plannen in Overijssel zijn. We willen in Overijssel ...,GroenLinks-PvdA,none
fzuwm5nYSS4,2023-11-09,youtube#video,Onze investeringen in Noord-Brabant,"Onze kandidaat Esmah Lahlah, uit Tilburg, legt je in anderhalve minuut uit wat onze plannen zijn voor Noord-Brabant. We willen ...",GroenLinks-PvdA,none
xRajRhO4DcQ,2023-11-10,youtube#video,Teleurstelling voor GroenLinks-PvdA: Frans Timmermans-effect blijft uit,"Het Frans Timmermans-effect waar GroenLinks-PvdA op had gehoopt in aanloop naar de Tweede Kamerverkiezingen, ...",WNL,none
_UJiy-JvieY,2023-11-10,youtube#video,Nederland Kiest💥HET DEBAT💥SP -Volt -Party voor de dieren -GroenLinks💥PvdA💥Nieuw Sociaal Contract-FNV,"Groot debat tussen politieke partijen. Op die dag horen we van Esmah Lahlah (GroenLinks-PvdA), Nicolien van Vroonhoven ...",Grizzly Outdoor Adventures,none
PuHgKX1y-Dg,2023-11-12,youtube#video,Lijsttrekker GroenLinks-PvdA Frans Timmermans haalt uit naar klimaatminister Rob Jetten,Lijsttrekker van GroenLinks-PvdA Frans Timmermans vindt dat het demissionaire kabinet niets voor elkaar heeft gekregen.,WNL,none
olumTWIOk_w,2023-11-12,youtube#video,Lijsttrekker GroenLinks-PvdA Frans Timmermans geen premier als NSC de grootste wordt,Lijsttrekker van GroenLinks-PvdA Frans Timmermans wil geen minister-president worden als NSC de grootste partij wordt.,WNL,none
W4TzwpAHHGY,2023-11-13,youtube#video,Kees de Kort: Stem op GroenLinks-PvdA is beter voor economie dan de VVD,Het verkiezingsprogramma van GroenLinks-PvdA lijkt beter voor de Nederlandse economie dan het programma van de VVD.,BNR,none
j3otLJ95s8Y,2023-11-14,youtube#video,Stem jij ook? Groenlinks/PVDA,Groenlinks/PVDA doet mee aan de Tweede Kamerverkiezing In deze video stellen zij zich voor. *** Op 22 november 2023 is de ...,ProDemos - Huis voor democratie en rechtsstaat,none
WsWhhwPfZvk,2023-11-14,youtube#video,Johan helpt Timmermans uit z&#39;n droom: &#39;Dat gaat niet gebeuren&#39; | VANDAAG INSIDE,Frans Timmermans vertelt aan tafel bij Vandaag Inside wat zijn doel is met de nieuwe links-progressieve beweging ...,Vandaag Inside,none
qDbrIM1gSnE,2023-11-14,youtube#video,Boeken lezen met Frans Timmermans (GroenLinks-PvdA),"De Tweede Kamerverkiezingen komen eraan: wat wil GroenLinks-PvdA eigenlijk? Bart sprak erover met Frans Timmermans, hij is ...",NOS Jeugdjournaal,none
WsWhhwPfZvk,2023-11-14,youtube#video,Johan helpt Timmermans uit z&#39;n droom: &#39;Dat gaat niet gebeuren&#39; | VANDAAG INSIDE,Frans Timmermans vertelt aan tafel bij Vandaag Inside wat zijn doel is met de nieuwe links-progressieve beweging ...,Vandaag Inside,none
faJNwBJllnI,2023-11-15,youtube#video,Wat vinden mensen van Frans Timmermans (GroenLinks-PvdA)? &#39;Hij is heel direct&#39;,"In aanloop van de verkiezingen gaat politiek verslaggever van WNL Tessa van Viegen gaat 'De Markt Op', om aan burgers te ...",WNL,none
yrM18g7Pam0,2023-11-15,youtube#video,Frans Timmermans (GroenLinks-PvdA) haalt uit naar VVD,Lijsttrekker van GroenLinks-PvdA Frans Timmermans sluit een coalitie met de VVD niet volledig uit. Maar de liberalen moeten dan ...,WNL,none
DJNoWUWpDxE,2023-11-15,youtube#video,Verhit klimaatdebat: Eerdmans (JA21) vs Timmermans (PvdA/GroenLinks),Joost Eerdmans (JA21) in debat met Frans Timmermans (GroenLinks/PvdA) over klimaat bij Khalid en Sophie. Abonneer op ons ...,JA21,none
2SSw4YTNZco,2023-11-15,youtube#video,Frans Timmermans (GL-PvdA) reageert op &#39;verdwijnen PvdA&#39; volgens Caroline van der Plas,Partij van de Arbeid en GroenLinks houden elkaar in evenwicht binnen de linkse samenwerking. Dat zegt lijsttrekker Frans ...,WNL,none
KiDN_TfaHgc,2023-11-15,youtube#video,Kamerlid Lisa Westerveld voelt vertrouwen van GroenLinks-PvdA,"De Aaltense Lisa Westerveld is als Kamerlid inmiddels een bekend gezicht in de Haagse politiek, maar voert nu voor het eerst ...",REGIO8,none
SRbeHbtVDTY,2023-11-15,youtube#video,Frans Timmermans (GL-PvdA) reageert op zorgen rond verhogen minimumloon,"Lijsttrekker van GroenLinks-PvdA Frans Timmermans wil het minimumloon verhogen naar zestien euro, ondanks de zorgen van ...",WNL,none
MWjWBffKMHM,2023-11-16,youtube#video,GroenLinks/PvdA wordt de grootste in Groningse peiling,"Als alleen de gemeente Groningen zou stemmen voor de Tweede Kamer, zou GroenLinks-PvdA de grootste partij worden.",OOG Groningen,none
b_gG8tgW4xg,2023-11-17,youtube#video,Hoe verbindt Timmermans zijn verdeelde achterban?,"De eerste leider van GroenLinks-Pvda, Frans Timmermans, wil dat de overheid weer de regie terugpakt in de publieke sector.",Nieuwsuur,none
nwhpzxoiU7g,2023-11-17,youtube#video,"Omtzigt wil niet met GL-PvdA, en hard tegen hard bij SBS-debat | De Campagne Stemming | NPO Radio 1",Nog 5 dagen tot de verkiezingen. Xander van der Wulp en Joost Vullings praten je bij over de campagne. In de veertiende ...,NPO Radio 1,none
iytBbo1klrY,2023-11-17,youtube#video,In de trekker met GroenLinks-PvdA,"Laura Bromet heeft als Kamerlid van GroenLinks-PvdA niet veel fans onder boeren, toch blijft ze met hen in gesprek. En vandaag ...",Boerderij,none
hWtgllTRcoA,2023-11-18,youtube#video,Verenigd links,"Aan iedereen die vindt dat het groener, eerlijker, rechtvaardiger moet: stem woensdag Verenigd Links. Stem GroenLinks-PvdA.",GroenLinks-PvdA,none
3DQIHhHlatk,2023-11-19,youtube#video,Analyse programma GroenLinks-PvdA: &#39;Allemaal opgewekte retoriek&#39;,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Maarten van Rossem ...",Maarten van Rossem - De Podcast,none
VM0twm96oa4,2023-11-19,youtube#video,Frans Timmermans | GroenLinks-PvdA | Buitenhof,"'Als ik het voor mezelf zou kiezen, was ik wel in Brussel gebleven' aldus Frans Timmermans. De lijsttrekker van GroenLinks-PvdA ...",Buitenhof,none
ybaqdN1V7hw,2023-11-20,youtube#video,Slot event met Frans Timmermans - met gebarentolk,Op zondagmiddag 19 november komen we in Haarlem nog één keer bij elkaar tijdens de eindfase van deze spannende ...,GroenLinks-PvdA,none
LI3os9U0OGI,2023-11-20,youtube#video,Slotevent met Frans Timmermans,"Welkom bij de livestream van het slotevent. Fijn dat jullie meekijken! Mochten jullie na deze stream nog vragen hebben, stuur dan ...",GroenLinks-PvdA,none
-jFW2Xhe1dA,2023-11-20,youtube#video,TERUGKIJKEN | Frans Timmermans (GroenLinks-PvdA) beantwoordde jullie vragen,Van 6 t/m 21 november legt verslaggever Albert Bos iedere werkdag om 9.15 uur jullie vragen live voor aan een lijsttrekker.,NOS,none
GbhTg4AK7AA,2023-11-20,youtube#video,Samen gaan we de verkiezingen winnen! - Speech Frans Timmermans in Patronaat in Haarlem,Leg aan mensen uit wat er op het spel staat de komende dagen. Help mee om al die mensen die nog twijfelen te overtuigen.,GroenLinks-PvdA,none
LKjnjsUKhFc,2023-11-20,youtube#video,Maurice de Hond: vier koplopers in peilingen kunnen allemaal de grootste worden,"VVD, PVV, NSC en GroenLinks-PvdA maken allemaal nog kans om de grootste partij te worden bij de Tweede ...",WNL,none
z1PMgbXUUJU,2023-11-20,youtube#video,Gratis tip: blijf lekker binnen.,Want het gaat toch de hele week regenen. Grapje natuurlijk. Ga stemmen. En stem verenigd. Maak GroenLinks-PvdA de grootste.,GroenLinks-PvdA,none
ozP92C1AL30,2023-11-21,youtube#video,"Driestrijd VVD, PVV en GroenLinks-PvdA: ‘PVV moeilijk te duiden; links op sommige punten&#39;","Dit is een fragment uit BNR's Big Five met presentator Diana Matroos. Te gast is Gerdi Verbeet, voormalig Kamervoorzitter en ...",BNR,none
3nVYplplsL8,2023-11-22,youtube#video,"VVD, PVV en GroenLinks-PvdA gaan nek-aan-nek: &#39;Weet niet of regering met Wilders goed nieuws is&#39;","Dit is een fragment uit BNR's Big Five met presentator Diana Matroos. Te gast is Bas Jacobs, Hoogleraar economie en ...",BNR,none
vfCCGfndQAs,2023-11-22,youtube#video,Jesse Klaver (GL-PvdA) is hoopvol voor partij: ‘Spannend of wij de grootste worden’,"Aangezien GroenLinks-PvdA vandaag voor het eerst samen op de lijst staat is het een bijzondere dag voor Jesse Klaver, die op ...",WNL,none
wVD1FTHNJyo,2023-11-22,youtube#video,"Driestrijd VVD, GroenLinks-PvdA en PVV barst los: wie trekt aan het langste eind?","Met het slotdebat achter de rug is het tijd om te stemmen. De grote vraag is wie de grootste partij wordt, want het lijkt een driestrijd ...",WNL,none
dq_mKjWrKFk,2023-11-22,youtube#video,Opmerkelijk: twijfels tussen GL/PvdA en Wilders,Volgens I&O Research is 75 procent van de kiezers nog onzeker over op wie ze gaan stemmen. Deze onzekerheid kan grote ...,De Telegraaf,none
