videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
DZAY0Ixy6Gs,2023-10-06,youtube#video,Baudet zet arrogante D66&#39;er Sneller op zijn PLEK! &#39;Je kan toch normaal discussiëren?&#39;,Baudet zet arrogante D66'er Sneller op zijn PLEK! 'Je kan toch normaal discussiëren?',KafkaNL,none
cNvCh_BcYco,2023-10-11,youtube#video,"Tjeerd de Groot (D66) valt Caroline van der Plas aan | Dat is zo&#39;n vileine, gemene opmerking!",,BoerBurgerBeweging BBB,none
hhgPZ2j56c8,2023-10-14,youtube#video,D66 — Wij maken nu keuzes voor later,"Onze partij bestaat 57 jaar. Al meer dan een halve eeuw werken wij aan een sterk, schoon en eerlijk Nederland. Wij maken nu ...",D66,none
DTvgIgWG4Tg,2023-10-21,youtube#video,D66 — Congres 118,"Zaterdag 21 oktober is het zover, het verkiezingscongres C118. Een belangrijk Congres waar we ons kunnen uitspreken over het ...",D66,none
R6zCMPhFgfk,2023-10-21,youtube#video,D66 — Congres 118,"Zaterdag 21 oktober is het zover, het verkiezingscongres C118. Een belangrijk Congres waar we ons kunnen uitspreken over het ...",D66,none
umQU1kJOco4,2023-10-21,youtube#video,D66 Congres 118 — Speech Rob Jetten,Volg ons op: YouTube 🎞️ - https://www.youtube.com/user/Democraten66 Instagram ...,D66,none
nWM_3T6pX_w,2023-10-22,youtube#video,D66-leider Jetten over keuzes Frans Timmermans: ‘Onverstandig’,"Volgens D66-lijsttrekker Rob Jetten is het ""onverstandig"" dat GroenLinks/PvdA-leider Frans Timmermans tegen het gebruik van ...",WNL,none
9AJbzeRuQ2Y,2023-10-23,youtube#video,Een dag op het D66-congres,Bekijk de hele speech: https://youtu.be/umQU1kJOco4?si=BHskuMeTDJjDeUDB #shorts.,D66,none
yyYYTspeMGI,2023-10-23,youtube#video,Minister Ernst Kuipers sluit een historisch zorgakkoord,"Als je sommigen politici moet geloven, hebben we de beste zorg van Europa of zelfs de wereld. De ongemakkelijke waarheid is ...",D66,none
NOf9KpvW3KI,2023-10-24,youtube#video,D66-lijsttrekker Rob Jetten over de situatie in Israël en Gaza | Op1,D66-lijsttrekker Rob Jetten over de situatie in Israël en Gaza. “Het westen moet alles op alles zetten voor een humanitaire pauze ...,Op1,none
KOPte50MsZY,2023-10-25,youtube#video,Paternotte vult Stemwijzer in: &#39;23% FvD&#39;,De Stemwijzer is woensdagochtend weer online gegaan. Nederlanders die nog niet weten op wie zij moeten stemmen tijdens de ...,De Telegraaf,none
GMDCXUhWX0A,2023-10-29,youtube#video,PowCast: De Verkiezingen met Rob Jetten,In PowCast: De Verkiezingen blikken we samen met een prominente politicus vooruit op de Tweede Kamer-verkiezingen op 22 ...,Omroep PowNed,none
qfrD5q3lkeQ,2023-10-29,youtube#video,D66&#39;er is slechts anderhalve dag Kamerlid,D66'er Carline van Breugel werd woensdagmiddag geïnstalleerd als Tweede Kamerlid. Inmiddels is de Kamer alweer met reces ...,RTL Nieuws,none
ZjDKJLVXPSw,2023-10-30,youtube#video,D66-leider Rob Jetten: &#39;logisch&#39; als NAVO kijkt naar Rutte,D66-lijsttrekker Rob Jetten is niet verrast dat demissionair premier Mark Rutte waarschijnlijk een baan bij de NAVO ambieert.,WNL,none
