videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
9kVz26avOp8,2023-09-07,youtube#video,Zeven vrouwen in de top tien voor de VVD: &#39;Mooie lijst met verdeling over regio&#39;s en ervaring&#39;,Zeven vrouwen staan in de top tien van de VVD-kieslijst voor de Tweede Kamerverkiezingen. Dat meldt De Telegraaf. Lees meer: ...,WNL,none
XI9X_EXSIPc,2023-09-12,youtube#video,Onze lijsttrekker Dilan Yeşilgöz-Zegerius over de snelwegblokkade van Extinction Rebellion,Wil je niets missen van Dilan en alles wat er bij de VVD gebeurt? Abonneer!,VVD,none
c4Y7jToKQK4,2023-09-20,youtube#video,"Baudet (FVD) CLASHT met VVD, 3 MILJOEN immigranten naar Nederland? Algemene Beschouwingen 2023",13 jaar VVD. Vier keer regeringsdeelname. Bijna 3.000.000 immigranten. Dit zijn ontluisterende cijfers voor een partij die steeds ...,Forum voor Democratie,none
FRvIonsi96s,2023-09-20,youtube#video,Omtzigt legt aan Sophie Hermans uit hoe de VVD ook de middenklasse de armoede injaagt,Fragment uit de algemene politieke beschouwingen van 20 september 2023.,Bert Brandsma,none
KjTSiCtFHSI,2023-09-20,youtube#video,Hoe betrouwbaar is de VVD? | Joost Eerdmans tijdens de APB2023,Miljoenen werkende Nederlanders en ondernemers dreigen buiten de boot te vallen. Zij maken geen aanspraak op toeslagen en ...,JA21,none
1wNChEjE5xw,2023-09-20,youtube#video,Hilariteit in Tweede Kamer na betoog Hermans: ‘Die zat’,"Sophie Hermans (VVD) en Caroline van der Plas (BBB) hebben een 1-2'tje tijdens de Algemene Politieke Beschouwingen, wat ...",De Telegraaf,none
vpad-U7-6dc,2023-09-20,youtube#video,De benzinerijder is de klos | De Avondshow met Arjen Lubach (S4),De VVD is er behoorlijk goed in: pomppopulisme. Benzine goedkoper maken om stemmen te winnen. Maar wie profiteert hier nou ...,De Avondshow met Arjen Lubach | VPRO,none
GrbHQyj_oFk,2023-09-21,youtube#video,Baudet snapt aanval Wilders niet: &#39;Hij wil meedoen met VVD!&#39;,Thierry Baudet kreeg tijdens de Algemene Beschouwingen een aanval uit onverwachte hoek te verwerken. Geert Wilders verweet ...,Omroep PowNed,none
cp0F4_FZwRc,2023-09-23,youtube#video,Verkiezingscongres VVD - 23 september 2023,Wil je niks missen van Dilan en alles wat er bij de VVD gebeurt? Abonneer!,VVD,none
FXR02pTbq98,2023-09-25,youtube#video,&#39;Rare toespraak&#39; Dilan Yesilgöz op VVD-congres,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Maarten van Rossem ...",Maarten van Rossem - De Podcast,none
-wFYJ97V4C0,2023-09-26,youtube#video,Speech Dilan Yeşilgöz-Zegerius op het verkiezingscongres,Wil je niets missen van Dilan en alles wat er bij de VVD gebeurt? Abonneer!,VVD,none
